C:\Cambridge\Election2019\Council\3 Final\Council Tabular Report (Delimited)
November 15, 2019 -- Cambridge, MA
City Council Election
Cambridge, Massachusetts
Final Election Results

21,239 valid ballots.
Electing 9 candidates.
Quota is 2124 votes.
There were 85 invalid ballots.
(21,324 total ballots processed.)

|Count 1|Count 2|Count 3|Count 4|Count 5|Count 6|Count 7|Count 8|Count 9|Count 10|Count 11|Count 12|Count 13|Count 14|Count 15|
Sobrinho-Wheeler, Jivan|1321.0000000000|1353.0000000000|1353.0000000000|1357.0000000000|1359.0000000000|1376.0000000000|1442.0000000000|1484.0000000000|1520.0000000000|1537.0000000000|1561.0000000000|1647.0000000000|1778.0000000000|2124.0000000000|2124.0000000000|ELECTED -- 14th count
Toomey, Jr., Timothy J.|1729.0000000000|1744.0000000000|1753.0000000000|1758.0000000000|1764.0000000000|1768.0000000000|1785.0000000000|1797.0000000000|1811.0000000000|1823.0000000000|1856.0000000000|1880.0000000000|1912.0000000000|2007.0000000000|2124.0000000000|ELECTED -- 15th count
Williams, Nicola A.|631.0000000000|638.0000000000|638.0000000000|639.0000000000|645.0000000000|656.0000000000|683.0000000000|708.0000000000|762.0000000000|794.0000000000|875.0000000000|0|0|0|0|DEFEATED -- 11th count
Zondervan, Quinton Y.|1382.0000000000|1413.0000000000|1414.0000000000|1421.0000000000|1437.0000000000|1457.0000000000|1497.0000000000|1541.0000000000|1562.0000000000|1610.0000000000|1721.0000000000|1992.0000000000|2057.0000000000|2124.0000000000|2124.0000000000|ELECTED -- 14th count
Write-In 1|17.0000000000|17.0000000000|0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count
Write-In 2|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count
Write-In 3|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count
Write-In 4|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count
Write-In 5|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count
Write-In 6|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count
Write-In 7|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count
Write-In 8|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count
Write-In 9|0.0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|DEFEATED -- 2nd count



Friday, November 15, 2019 6:05 PM
ChoicePlus Pro -- Version 2.3.4
(c) 1993-2009 Voting Solutions -- All Rights Reserved
